tweets,a,b,c,d,e,f,g,h,i,f
"nettie_b;2011-04-29 18:39;0;0;""RT @ thinkprogress: ‘It is irresponsible not to mention climate change’ http://thkpr.gs/mMIOCm @ katmayne"";;@ @;;""64111682892464128"";https://twitter.com/nettie_b/status/64111682892464128  ",,,,,"nettie_b;2011-04-29 18:39;0;0;""RT @ thinkprogress: ‘It is irresponsible not to mention climate change’ http://thkpr.gs/mMIOCm @ katmayne"";;@ @;;""64111682892464128"";https://twitter.com/nettie_b/status/64111682892464128",,,,"nettie_b;2011-04-29 18:39;0;0;""RT @ thinkprogress: ‘It is irresponsible not to mention climate change’ http://thkpr.gs/mMIOCm @ katmayne"";;@ @;;""64111682892464128"";https://twitter.com/nettie_b/status/64111682892464128 ",
"Corrie71836;2011-04-29 18:36;0;0;""Climate Change â€“ What is it? http://bit.ly/fyhNb5"";;;;""64110788687839232"";https://twitter.com/Corrie71836/status/64110788687839232  ",,,,,"Corrie71836;2011-04-29 18:36;0;0;""Climate Change â€“ What is it? http://bit.ly/fyhNb5"";;;;""64110788687839232"";https://twitter.com/Corrie71836/status/64110788687839232",,,,"Corrie71836;2011-04-29 18:36;0;0;""Climate Change â€“ What is it? http://bit.ly/fyhNb5"";;;;""64110788687839232"";https://twitter.com/Corrie71836/status/64110788687839232 ",
"Thea_QT;2011-04-29 18:35;0;0;""“ @ favianna: Art dealing with food justice  climate change sex lib",,sex lib,,,"Thea_QT;2011-04-29 18:35;0;0;""“ @ favianna: Art dealing with food justice",, climate change,,"Thea_QT;2011-04-29 18:35;0;0;""“ @ favianna: Art dealing with food justice  climate change",
"StevenHandel;2011-04-29 18:34;5;1;""Your belief in climate change is influenced by daily temperature. http://bit.ly/lGvCT8"";;;;""64110398865022976"";https://twitter.com/StevenHandel/status/64110398865022976  ",,,,,"StevenHandel;2011-04-29 18:34;5;1;""Your belief in climate change is influenced by daily temperature. http://bit.ly/lGvCT8"";;;;""64110398865022976"";https://twitter.com/StevenHandel/status/64110398865022976",,,,"StevenHandel;2011-04-29 18:34;5;1;""Your belief in climate change is influenced by daily temperature. http://bit.ly/lGvCT8"";;;;""64110398865022976"";https://twitter.com/StevenHandel/status/64110398865022976 ",
"IdealistJobsCA;2011-04-29 18:33;0;0;""Climate Change Policy Associate http://bit.ly/kejuip # jobs"";;;#;""64110014511579136"";https://twitter.com/IdealistJobsCA/status/64110014511579136  ",,,,,"IdealistJobsCA;2011-04-29 18:33;0;0;""Climate Change Policy Associate http://bit.ly/kejuip # jobs"";;;#;""64110014511579136"";https://twitter.com/IdealistJobsCA/status/64110014511579136",,,,"IdealistJobsCA;2011-04-29 18:33;0;0;""Climate Change Policy Associate http://bit.ly/kejuip # jobs"";;;#;""64110014511579136"";https://twitter.com/IdealistJobsCA/status/64110014511579136 ",
"clintspringer;2011-04-29 18:32;0;0;""“ @ paulrauber: Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate Change’ http://sc.org/mgVdjK ”"";;@;;""64109837600034816"";https://twitter.com/clintspringer/status/64109837600034816  ",,,,,"clintspringer;2011-04-29 18:32;0;0;""“ @ paulrauber: Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate Change’ http://sc.org/mgVdjK ”"";;@;;""64109837600034816"";https://twitter.com/clintspringer/status/64109837600034816",,,,"clintspringer;2011-04-29 18:32;0;0;""“ @ paulrauber: Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate Change’ http://sc.org/mgVdjK ”"";;@;;""64109837600034816"";https://twitter.com/clintspringer/status/64109837600034816 ",
"bennyc50;2011-04-29 18:31;0;0;""Thank you Howie ""Climate Change  No"" --Is Climate Change To Blame For The Devastating Tornadoes? http://huff.to/keDM29"";;;;""64109492744368128"";https://twitter.com/bennyc50/status/64109492744368128 ",,,,,"bennyc50;2011-04-29 18:31;0;0;""Thank you Howie ""Climate Change",," No"" --Is Climate Change To Blame For The Devastating Tornadoes? http://huff.to/keDM29"";;;;""64109492744368128"";https://twitter.com/bennyc50/status/64109492744368128",,"bennyc50;2011-04-29 18:31;0;0;""Thank you Howie ""Climate Change  No"" --Is Climate Change To Blame For The Devastating Tornadoes? http://huff.to/keDM29"";;;;""64109492744368128"";https://twitter.com/bennyc50/status/64109492744368128",
"tan123;2011-04-29 18:30;0;0;""# agw Warmist Christopher Mims: ""From a near-term perspective  climate change is the least good reason to get off... http://bit.ly/lhx27p"";;;#;""64109209964396544"";https://twitter.com/tan123/status/64109209964396544 ",,,,,"tan123;2011-04-29 18:30;0;0;""# agw Warmist Christopher Mims: ""From a near-term perspective",," climate change is the least good reason to get off... http://bit.ly/lhx27p"";;;#;""64109209964396544"";https://twitter.com/tan123/status/64109209964396544",,"tan123;2011-04-29 18:30;0;0;""# agw Warmist Christopher Mims: ""From a near-term perspective  climate change is the least good reason to get off... http://bit.ly/lhx27p"";;;#;""64109209964396544"";https://twitter.com/tan123/status/64109209964396544",
"honorthysowbug;2011-04-29 18:29;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/iGVnwR"";;;;""64109140221505536"";https://twitter.com/honorthysowbug/status/64109140221505536  ",,,,,"honorthysowbug;2011-04-29 18:29;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/iGVnwR"";;;;""64109140221505536"";https://twitter.com/honorthysowbug/status/64109140221505536",,,,"honorthysowbug;2011-04-29 18:29;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/iGVnwR"";;;;""64109140221505536"";https://twitter.com/honorthysowbug/status/64109140221505536 ",
"ThinkThursday;2011-04-29 18:27;0;0;""Insane Storms: Science Saw it Coming  and Yes  It's Part of Climate Change: Every day recently we seem to have w... http://bit.ly/isx8ir"";;;;""64108655917797376"";https://twitter.com/ThinkThursday/status/64108655917797376",," It's Part of Climate Change: Every day recently we seem to have w... http://bit.ly/isx8ir"";;;;""64108655917797376"";https://twitter.com/ThinkThursday/status/64108655917797376",,,"ThinkThursday;2011-04-29 18:27;0;0;""Insane Storms: Science Saw it Coming",, and Yes,,"ThinkThursday;2011-04-29 18:27;0;0;""Insane Storms: Science Saw it Coming  and Yes",
"ChristopherBeau;2011-04-29 18:26;0;0;""We've known about global warming for decades. We've renamed it climate change but we've done nothing about it. http://www.whiteearth.org"";;;;""64108398349795328"";https://twitter.com/ChristopherBeau/status/64108398349795328  ",,,,,"ChristopherBeau;2011-04-29 18:26;0;0;""We've known about global warming for decades. We've renamed it climate change but we've done nothing about it. http://www.whiteearth.org"";;;;""64108398349795328"";https://twitter.com/ChristopherBeau/status/64108398349795328",,,,"ChristopherBeau;2011-04-29 18:26;0;0;""We've known about global warming for decades. We've renamed it climate change but we've done nothing about it. http://www.whiteearth.org"";;;;""64108398349795328"";https://twitter.com/ChristopherBeau/status/64108398349795328 ",
