tweets,a,b,c,d,e,f,g,h,i,f
"gpk1942;2011-04-29 11:23;0;0;""What did you expect"" @ michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp """";;@;#;""64001851560960000"";https://twitter.com/gpk1942/status/64001851560960000  ",,,,,"gpk1942;2011-04-29 11:23;0;0;""What did you expect"" @ michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp """";;@;#;""64001851560960000"";https://twitter.com/gpk1942/status/64001851560960000",,,,"gpk1942;2011-04-29 11:23;0;0;""What did you expect"" @ michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp """";;@;#;""64001851560960000"";https://twitter.com/gpk1942/status/64001851560960000 ",
"AGW_IS_A_HOAX;2011-04-29 11:23;0;0;""Green Schools Indoctrination http://www.climatedepot.com/a/10810/Green-Schools-Indoctrination-I-wonder-if-my-children-where-to-question-the-demonization-of-Co2-in-class-would-they-then-be-deemed-to-be-bad-citizens-by-the-Green-School-Committe … # AGW # Eco # Green # Climate # Cop16 # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # # #;""64001752260812801"";https://twitter.com/AGW_IS_A_HOAX/status/64001752260812801  ",,,,,"AGW_IS_A_HOAX;2011-04-29 11:23;0;0;""Green Schools Indoctrination http://www.climatedepot.com/a/10810/Green-Schools-Indoctrination-I-wonder-if-my-children-where-to-question-the-demonization-of-Co2-in-class-would-they-then-be-deemed-to-be-bad-citizens-by-the-Green-School-Committe … # AGW # Eco # Green # Climate # Cop16 # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # # #;""64001752260812801"";https://twitter.com/AGW_IS_A_HOAX/status/64001752260812801",,,,"AGW_IS_A_HOAX;2011-04-29 11:23;0;0;""Green Schools Indoctrination http://www.climatedepot.com/a/10810/Green-Schools-Indoctrination-I-wonder-if-my-children-where-to-question-the-demonization-of-Co2-in-class-would-they-then-be-deemed-to-be-bad-citizens-by-the-Green-School-Committe … # AGW # Eco # Green # Climate # Cop16 # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # # #;""64001752260812801"";https://twitter.com/AGW_IS_A_HOAX/status/64001752260812801 ",
"appopallus;2011-04-29 11:22;0;0;""http://bit.ly/Vpl8d This is an old article 9  but interesting about the effects of climate change."";;;;""64001594957627393"";https://twitter.com/appopallus/status/64001594957627393",," but interesting about the effects of climate change."";;;;""64001594957627393"";https://twitter.com/appopallus/status/64001594957627393",,,"appopallus;2011-04-29 11:22;0;0;""http://bit.ly/Vpl8d This is an old article",,9,,"appopallus;2011-04-29 11:22;0;0;""http://bit.ly/Vpl8d This is an old article 9",
"HumanityNews;2011-04-29 11:22;0;0;""NonProfit News: Joto Afrika: adapting to climate change in Africa  issue 6 http://dlvr.it/Q6qkq"";;;;""64001553723432962"";https://twitter.com/HumanityNews/status/64001553723432962 ",,,,,"HumanityNews;2011-04-29 11:22;0;0;""NonProfit News: Joto Afrika: adapting to climate change in Africa",," issue 6 http://dlvr.it/Q6qkq"";;;;""64001553723432962"";https://twitter.com/HumanityNews/status/64001553723432962",,"HumanityNews;2011-04-29 11:22;0;0;""NonProfit News: Joto Afrika: adapting to climate change in Africa  issue 6 http://dlvr.it/Q6qkq"";;;;""64001553723432962"";https://twitter.com/HumanityNews/status/64001553723432962",
"CTLawTribune;2011-04-29 11:21;0;0;""From @ CTMirror: A Chilly Reception In A Climate Change Case http://bit.ly/jygWa7 # law # climatechange"";;@;# #;""64001415860846592"";https://twitter.com/CTLawTribune/status/64001415860846592  ",,,,,"CTLawTribune;2011-04-29 11:21;0;0;""From @ CTMirror: A Chilly Reception In A Climate Change Case http://bit.ly/jygWa7 # law # climatechange"";;@;# #;""64001415860846592"";https://twitter.com/CTLawTribune/status/64001415860846592",,,,"CTLawTribune;2011-04-29 11:21;0;0;""From @ CTMirror: A Chilly Reception In A Climate Change Case http://bit.ly/jygWa7 # law # climatechange"";;@;# #;""64001415860846592"";https://twitter.com/CTLawTribune/status/64001415860846592 ",
"BetterWorldClub;2011-04-29 11:21;0;0;""# Climate Change is Likely to Diminish Already Scarce Water Supplies in the Western United States According to Report. http://bit.ly/BWC_NEWS"";;;#;""64001380494475264"";https://twitter.com/BetterWorldClub/status/64001380494475264  ",,,,,"BetterWorldClub;2011-04-29 11:21;0;0;""# Climate Change is Likely to Diminish Already Scarce Water Supplies in the Western United States According to Report. http://bit.ly/BWC_NEWS"";;;#;""64001380494475264"";https://twitter.com/BetterWorldClub/status/64001380494475264",,,,"BetterWorldClub;2011-04-29 11:21;0;0;""# Climate Change is Likely to Diminish Already Scarce Water Supplies in the Western United States According to Report. http://bit.ly/BWC_NEWS"";;;#;""64001380494475264"";https://twitter.com/BetterWorldClub/status/64001380494475264 ",
"ClimateHome;2011-04-29 11:21;0;0;""Help us spread the word on # climatechange by RT our video contest. ALso enter to win $5 000! http://www.climate-change.tv/video-award"";;;#;""64001330091536384"";https://twitter.com/ClimateHome/status/64001330091536384 ",,,,,"ClimateHome;2011-04-29 11:21;0;0;""Help us spread the word on # climatechange by RT our video contest. ALso enter to win $5",,"000! http://www.climate-change.tv/video-award"";;;#;""64001330091536384"";https://twitter.com/ClimateHome/status/64001330091536384",,"ClimateHome;2011-04-29 11:21;0;0;""Help us spread the word on # climatechange by RT our video contest. ALso enter to win $5 000! http://www.climate-change.tv/video-award"";;;#;""64001330091536384"";https://twitter.com/ClimateHome/status/64001330091536384",
"JamarTorres;2011-04-29 11:21;0;0;""Regardless of 2012  or any other prophecy or conspiracy  the damage done in # Alabama and elsewhere is due to the effects of climate change"";;;#;""64001274798014464"";https://twitter.com/JamarTorres/status/64001274798014464",," the damage done in # Alabama and elsewhere is due to the effects of climate change"";;;#;""64001274798014464"";https://twitter.com/JamarTorres/status/64001274798014464",,,"JamarTorres;2011-04-29 11:21;0;0;""Regardless of 2012",, or any other prophecy or conspiracy,,"JamarTorres;2011-04-29 11:21;0;0;""Regardless of 2012  or any other prophecy or conspiracy",
"tlesam;2011-04-29 11:20;0;0;""Critics' review unexpectedly supports scientific consensus on climate change http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0 772697.story …"";;;;""64001184305905665"";https://twitter.com/tlesam/status/64001184305905665",,"772697.story …"";;;;""64001184305905665"";https://twitter.com/tlesam/status/64001184305905665",,,"tlesam;2011-04-29 11:20;0;0;""Critics' review unexpectedly supports scientific consensus on climate change http://www.latimes.com/news/local/la-me-climate-berkeley-20110404",,0,,"tlesam;2011-04-29 11:20;0;0;""Critics' review unexpectedly supports scientific consensus on climate change http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0",
"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Total invests £800m in US solar power firm: French oil company is to buy 60% of SunPo... http://tinyurl.com/3wugusv"";;;;""64001094283558912"";https://twitter.com/radixextreme/status/64001094283558912  ",,,,,"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Total invests £800m in US solar power firm: French oil company is to buy 60% of SunPo... http://tinyurl.com/3wugusv"";;;;""64001094283558912"";https://twitter.com/radixextreme/status/64001094283558912",,,,"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Total invests £800m in US solar power firm: French oil company is to buy 60% of SunPo... http://tinyurl.com/3wugusv"";;;;""64001094283558912"";https://twitter.com/radixextreme/status/64001094283558912 ",
"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Summer music fesivals - a green guide: The Ecologist: How to enjoy some summer festiv... http://tinyurl.com/3lumb9a"";;;;""64001093385981952"";https://twitter.com/radixextreme/status/64001093385981952  ",,,,,"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Summer music fesivals - a green guide: The Ecologist: How to enjoy some summer festiv... http://tinyurl.com/3lumb9a"";;;;""64001093385981952"";https://twitter.com/radixextreme/status/64001093385981952",,,,"radixextreme;2011-04-29 11:20;0;0;""Climate Change News: Summer music fesivals - a green guide: The Ecologist: How to enjoy some summer festiv... http://tinyurl.com/3lumb9a"";;;;""64001093385981952"";https://twitter.com/radixextreme/status/64001093385981952 ",
"labuenaempresa;2011-04-29 11:20;0;0;""The most creative climate change ads you'll see - donare: http://tumblr.com/xh32beuysl"";;;;""64001074213818368"";https://twitter.com/labuenaempresa/status/64001074213818368  ",,,,,"labuenaempresa;2011-04-29 11:20;0;0;""The most creative climate change ads you'll see - donare: http://tumblr.com/xh32beuysl"";;;;""64001074213818368"";https://twitter.com/labuenaempresa/status/64001074213818368",,,,"labuenaempresa;2011-04-29 11:20;0;0;""The most creative climate change ads you'll see - donare: http://tumblr.com/xh32beuysl"";;;;""64001074213818368"";https://twitter.com/labuenaempresa/status/64001074213818368 ",
"UCCowboy;2011-04-29 11:19;0;0;""@ keder Just replace science with ""climate change""  and you have the global warming movement in a nutshell. http://tinyurl.com/3arvh5d"";;@;;""64000958392315904"";https://twitter.com/UCCowboy/status/64000958392315904 ",,,,,"UCCowboy;2011-04-29 11:19;0;0;""@ keder Just replace science with ""climate change""",," and you have the global warming movement in a nutshell. http://tinyurl.com/3arvh5d"";;@;;""64000958392315904"";https://twitter.com/UCCowboy/status/64000958392315904",,"UCCowboy;2011-04-29 11:19;0;0;""@ keder Just replace science with ""climate change""  and you have the global warming movement in a nutshell. http://tinyurl.com/3arvh5d"";;@;;""64000958392315904"";https://twitter.com/UCCowboy/status/64000958392315904",
"MikeEngelhart;2011-04-29 11:19;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0 772697.story …"";;;;""64000956249018368"";https://twitter.com/MikeEngelhart/status/64000956249018368",,"772697.story …"";;;;""64000956249018368"";https://twitter.com/MikeEngelhart/status/64000956249018368",,,"MikeEngelhart;2011-04-29 11:19;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404",,0,,"MikeEngelhart;2011-04-29 11:19;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0",
"cynara44;2011-04-29 11:18;0;0;""Protect Our Forests from Climate Change: http://bit.ly/mSbLjb via @ addthis"";;@;;""64000662916186112"";https://twitter.com/cynara44/status/64000662916186112  ",,,,,"cynara44;2011-04-29 11:18;0;0;""Protect Our Forests from Climate Change: http://bit.ly/mSbLjb via @ addthis"";;@;;""64000662916186112"";https://twitter.com/cynara44/status/64000662916186112",,,,"cynara44;2011-04-29 11:18;0;0;""Protect Our Forests from Climate Change: http://bit.ly/mSbLjb via @ addthis"";;@;;""64000662916186112"";https://twitter.com/cynara44/status/64000662916186112 ",
"mrrealpolitics;2011-04-29 11:18;0;0;""After the land-based hurricane level damage last night  the GOP must slow down on climate change denial @ least until dead are laid to rest!"";;@;;""64000627897937920"";https://twitter.com/mrrealpolitics/status/64000627897937920 ",,,,,"mrrealpolitics;2011-04-29 11:18;0;0;""After the land-based hurricane level damage last night",," the GOP must slow down on climate change denial @ least until dead are laid to rest!"";;@;;""64000627897937920"";https://twitter.com/mrrealpolitics/status/64000627897937920",,"mrrealpolitics;2011-04-29 11:18;0;0;""After the land-based hurricane level damage last night  the GOP must slow down on climate change denial @ least until dead are laid to rest!"";;@;;""64000627897937920"";https://twitter.com/mrrealpolitics/status/64000627897937920",
"RANKIS;2011-04-29 11:18;1;0;""Using RWing logic  it is not climate change that caused the Tornados. It was God saying  ""Wise Up!"""";;;;""64000514605592577"";https://twitter.com/RANKIS/status/64000514605592577",," ""Wise Up!"""";;;;""64000514605592577"";https://twitter.com/RANKIS/status/64000514605592577",,,"RANKIS;2011-04-29 11:18;1;0;""Using RWing logic",, it is not climate change that caused the Tornados. It was God saying,,"RANKIS;2011-04-29 11:18;1;0;""Using RWing logic  it is not climate change that caused the Tornados. It was God saying",
"CDN_Dimension;2011-04-29 11:17;1;0;""Alert! Radio this week: social media and # elxn41 | # NDP surge in Quebec | opposition to UN Conference on # ClimateChange http://bit.ly/mawgn4"";;;# # #;""64000458594848768"";https://twitter.com/CDN_Dimension/status/64000458594848768  ",,,,,"CDN_Dimension;2011-04-29 11:17;1;0;""Alert! Radio this week: social media and # elxn41 | # NDP surge in Quebec | opposition to UN Conference on # ClimateChange http://bit.ly/mawgn4"";;;# # #;""64000458594848768"";https://twitter.com/CDN_Dimension/status/64000458594848768",,,,"CDN_Dimension;2011-04-29 11:17;1;0;""Alert! Radio this week: social media and # elxn41 | # NDP surge in Quebec | opposition to UN Conference on # ClimateChange http://bit.ly/mawgn4"";;;# # #;""64000458594848768"";https://twitter.com/CDN_Dimension/status/64000458594848768 ",
"Yiinkdotcom;2011-04-29 11:16;0;0;""Unknown Country Cities CAUSE Climate Change: Cities CAUSE Climate Change   We've seen devastating storms across... http://bit.ly/ix3vb0"";;;;""64000102557155328"";https://twitter.com/Yiinkdotcom/status/64000102557155328  ",,,,,"Yiinkdotcom;2011-04-29 11:16;0;0;""Unknown Country Cities CAUSE Climate Change: Cities CAUSE Climate Change   We've seen devastating storms across... http://bit.ly/ix3vb0"";;;;""64000102557155328"";https://twitter.com/Yiinkdotcom/status/64000102557155328",,,,"Yiinkdotcom;2011-04-29 11:16;0;0;""Unknown Country Cities CAUSE Climate Change: Cities CAUSE Climate Change   We've seen devastating storms across... http://bit.ly/ix3vb0"";;;;""64000102557155328"";https://twitter.com/Yiinkdotcom/status/64000102557155328 ",
"GreenHarvard;2011-04-29 11:15;0;0;""RT @ kennedy_school: UPCOMING EVENT: Keeping Our Cool: Promoting Green Technologies to Combat Climate Change http://bit.ly/mCumGW"";;@;;""63999874261196801"";https://twitter.com/GreenHarvard/status/63999874261196801  ",,,,,"GreenHarvard;2011-04-29 11:15;0;0;""RT @ kennedy_school: UPCOMING EVENT: Keeping Our Cool: Promoting Green Technologies to Combat Climate Change http://bit.ly/mCumGW"";;@;;""63999874261196801"";https://twitter.com/GreenHarvard/status/63999874261196801",,,,"GreenHarvard;2011-04-29 11:15;0;0;""RT @ kennedy_school: UPCOMING EVENT: Keeping Our Cool: Promoting Green Technologies to Combat Climate Change http://bit.ly/mCumGW"";;@;;""63999874261196801"";https://twitter.com/GreenHarvard/status/63999874261196801 ",
"WorldFreeMedia;2011-04-29 11:15;0;0;""Meteorologists: Tornadoes caused by torrential winds  not climate change http://www.worldfreemedia.com (Col. 3)"";;;;""63999837779148800"";https://twitter.com/WorldFreeMedia/status/63999837779148800 ",,,,,"WorldFreeMedia;2011-04-29 11:15;0;0;""Meteorologists: Tornadoes caused by torrential winds",," not climate change http://www.worldfreemedia.com (Col. 3)"";;;;""63999837779148800"";https://twitter.com/WorldFreeMedia/status/63999837779148800",,"WorldFreeMedia;2011-04-29 11:15;0;0;""Meteorologists: Tornadoes caused by torrential winds  not climate change http://www.worldfreemedia.com (Col. 3)"";;;;""63999837779148800"";https://twitter.com/WorldFreeMedia/status/63999837779148800",
"jfbproduction;2011-04-29 11:15;0;0;""RT @ gbeuvelot: RT @ EPSclimate: Himalayan farmers give early pointers on climate change ~ http://bit.ly/ggGteh"";;@ @;;""63999779314737152"";https://twitter.com/jfbproduction/status/63999779314737152  ",,,,,"jfbproduction;2011-04-29 11:15;0;0;""RT @ gbeuvelot: RT @ EPSclimate: Himalayan farmers give early pointers on climate change ~ http://bit.ly/ggGteh"";;@ @;;""63999779314737152"";https://twitter.com/jfbproduction/status/63999779314737152",,,,"jfbproduction;2011-04-29 11:15;0;0;""RT @ gbeuvelot: RT @ EPSclimate: Himalayan farmers give early pointers on climate change ~ http://bit.ly/ggGteh"";;@ @;;""63999779314737152"";https://twitter.com/jfbproduction/status/63999779314737152 ",
"SywakSays;2011-04-29 11:14;0;0;""Wait  isn't it ""climate change"" now? LOL RT @ BrandonKiser: Yay  another global warming day in geology. # sigh"";;@;#;""63999598187917312"";https://twitter.com/SywakSays/status/63999598187917312",," another global warming day in geology. # sigh"";;@;#;""63999598187917312"";https://twitter.com/SywakSays/status/63999598187917312",,,"SywakSays;2011-04-29 11:14;0;0;""Wait",," isn't it ""climate change"" now? LOL RT @ BrandonKiser: Yay",,"SywakSays;2011-04-29 11:14;0;0;""Wait  isn't it ""climate change"" now? LOL RT @ BrandonKiser: Yay",
"milkcleanser232;2011-04-29 11:14;0;0;""asia leadership development training on Disaster Risk Reduction and Climate Change Adaptation"";;;;""63999490956345344"";https://twitter.com/milkcleanser232/status/63999490956345344  ",,,,,"milkcleanser232;2011-04-29 11:14;0;0;""asia leadership development training on Disaster Risk Reduction and Climate Change Adaptation"";;;;""63999490956345344"";https://twitter.com/milkcleanser232/status/63999490956345344",,,,"milkcleanser232;2011-04-29 11:14;0;0;""asia leadership development training on Disaster Risk Reduction and Climate Change Adaptation"";;;;""63999490956345344"";https://twitter.com/milkcleanser232/status/63999490956345344 ",
"cdlongo;2011-04-29 11:13;0;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0 772697.story …"";;;;""63999453270515712"";https://twitter.com/cdlongo/status/63999453270515712",,"772697.story …"";;;;""63999453270515712"";https://twitter.com/cdlongo/status/63999453270515712",,,"cdlongo;2011-04-29 11:13;0;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404",,0,,"cdlongo;2011-04-29 11:13;0;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com http://www.latimes.com/news/local/la-me-climate-berkeley-20110404 0",
"Terra1Resources;2011-04-29 11:12;1;0;""News bites from Capitol Hill: Average gas $3.90  Tornadoes linked to climate change  nuke plants get no love http://thehill.com/blogs/e2-wire/677-e2-wire/158303-news-bites-average-gas-price-reaches-390?sms_ss=twitter&at_xt=4dbad4d3f6a863bf",, nuke plants get no love http://thehill.com/blogs/e2-wire/677-e2-wire/158303-news-bites-average-gas-price-reaches-390?sms_ss=twitter&at_xt=4dbad4d3f6a863bf,,,"Terra1Resources;2011-04-29 11:12;1;0;""News bites from Capitol Hill: Average gas $3.90",, Tornadoes linked to climate change,,"Terra1Resources;2011-04-29 11:12;1;0;""News bites from Capitol Hill: Average gas $3.90  Tornadoes linked to climate change",
"nljadav;2011-04-29 11:12;0;0;""Belize : SCIENTISTS MEET IN BELIZE TO DISCUSS CLIMATE CHANGE - LoveFM http://uxp.in/34560110"";;;;""63998990869479425"";https://twitter.com/nljadav/status/63998990869479425  ",,,,,"nljadav;2011-04-29 11:12;0;0;""Belize : SCIENTISTS MEET IN BELIZE TO DISCUSS CLIMATE CHANGE - LoveFM http://uxp.in/34560110"";;;;""63998990869479425"";https://twitter.com/nljadav/status/63998990869479425",,,,"nljadav;2011-04-29 11:12;0;0;""Belize : SCIENTISTS MEET IN BELIZE TO DISCUSS CLIMATE CHANGE - LoveFM http://uxp.in/34560110"";;;;""63998990869479425"";https://twitter.com/nljadav/status/63998990869479425 ",
"BluShadows;2011-04-29 11:11;0;0;""Costs of Inaction http://yv2.me/IFmK actually it is climatechange freaks who will destroy America & planet. God gave us resources to use!"";;;;""63998852604243969"";https://twitter.com/BluShadows/status/63998852604243969  ",,,,,"BluShadows;2011-04-29 11:11;0;0;""Costs of Inaction http://yv2.me/IFmK actually it is climatechange freaks who will destroy America & planet. God gave us resources to use!"";;;;""63998852604243969"";https://twitter.com/BluShadows/status/63998852604243969",,,,"BluShadows;2011-04-29 11:11;0;0;""Costs of Inaction http://yv2.me/IFmK actually it is climatechange freaks who will destroy America & planet. God gave us resources to use!"";;;;""63998852604243969"";https://twitter.com/BluShadows/status/63998852604243969 ",
"PeaceLeadership;2011-04-29 11:11;0;0;""""One of the most important articles # Climate # Campaigners will ever read..."" ( http://bit.ly/kY6szg ) # nature # environment # activism # change"";;;# # # # # #;""63998813517520896"";https://twitter.com/PeaceLeadership/status/63998813517520896  ",,,,,"PeaceLeadership;2011-04-29 11:11;0;0;""""One of the most important articles # Climate # Campaigners will ever read..."" ( http://bit.ly/kY6szg ) # nature # environment # activism # change"";;;# # # # # #;""63998813517520896"";https://twitter.com/PeaceLeadership/status/63998813517520896",,,,"PeaceLeadership;2011-04-29 11:11;0;0;""""One of the most important articles # Climate # Campaigners will ever read..."" ( http://bit.ly/kY6szg ) # nature # environment # activism # change"";;;# # # # # #;""63998813517520896"";https://twitter.com/PeaceLeadership/status/63998813517520896 ",
"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: EU and US see the reality: Climate deal far off (ecoearth.info): Carbon Positive: A meeting ... http://feedzil.la/lRBcUG"";;;;""63998431143800832"";https://twitter.com/Eleplumps/status/63998431143800832  ",,,,,"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: EU and US see the reality: Climate deal far off (ecoearth.info): Carbon Positive: A meeting ... http://feedzil.la/lRBcUG"";;;;""63998431143800832"";https://twitter.com/Eleplumps/status/63998431143800832",,,,"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: EU and US see the reality: Climate deal far off (ecoearth.info): Carbon Positive: A meeting ... http://feedzil.la/lRBcUG"";;;;""63998431143800832"";https://twitter.com/Eleplumps/status/63998431143800832 ",
"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: The hunt is on for million-year-old ice core (pheedo.com): A million years ago the pulsing o... http://feedzil.la/kaaXNj"";;;;""63998428920823809"";https://twitter.com/Eleplumps/status/63998428920823809  ",,,,,"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: The hunt is on for million-year-old ice core (pheedo.com): A million years ago the pulsing o... http://feedzil.la/kaaXNj"";;;;""63998428920823809"";https://twitter.com/Eleplumps/status/63998428920823809",,,,"Eleplumps;2011-04-29 11:09;0;0;""Climate Change: The hunt is on for million-year-old ice core (pheedo.com): A million years ago the pulsing o... http://feedzil.la/kaaXNj"";;;;""63998428920823809"";https://twitter.com/Eleplumps/status/63998428920823809 ",
"mbah3e;2011-04-29 11:09;0;0;""Fear of Climate Change Falling Precipitously: Not only do Westerners express a statistical disregard for the dan... http://bit.ly/kMsA8f"";;;;""63998241242492929"";https://twitter.com/mbah3e/status/63998241242492929  ",,,,,"mbah3e;2011-04-29 11:09;0;0;""Fear of Climate Change Falling Precipitously: Not only do Westerners express a statistical disregard for the dan... http://bit.ly/kMsA8f"";;;;""63998241242492929"";https://twitter.com/mbah3e/status/63998241242492929",,,,"mbah3e;2011-04-29 11:09;0;0;""Fear of Climate Change Falling Precipitously: Not only do Westerners express a statistical disregard for the dan... http://bit.ly/kMsA8f"";;;;""63998241242492929"";https://twitter.com/mbah3e/status/63998241242492929 ",
"RANKIS;2011-04-29 11:08;0;1;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""63998217636941824"";https://twitter.com/RANKIS/status/63998217636941824  ",,,,,"RANKIS;2011-04-29 11:08;0;1;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""63998217636941824"";https://twitter.com/RANKIS/status/63998217636941824",,,,"RANKIS;2011-04-29 11:08;0;1;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""63998217636941824"";https://twitter.com/RANKIS/status/63998217636941824 ",
"environmentguru;2011-04-29 11:08;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/TAary"";;;;""63998054436577280"";https://twitter.com/environmentguru/status/63998054436577280  ",,,,,"environmentguru;2011-04-29 11:08;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/TAary"";;;;""63998054436577280"";https://twitter.com/environmentguru/status/63998054436577280",,,,"environmentguru;2011-04-29 11:08;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/TAary"";;;;""63998054436577280"";https://twitter.com/environmentguru/status/63998054436577280 ",
"velvethammer;2011-04-29 11:07;0;0;""RT @ pinkelephantpun Shorter @ ThinkProgress: Those bastards deserved to die anyway. Because CLIMATE CHANGE. http://is.gd/RYsU6d | # tcot # p2"";;@ @;# #;""63997938048827393"";https://twitter.com/velvethammer/status/63997938048827393  ",,,,,"velvethammer;2011-04-29 11:07;0;0;""RT @ pinkelephantpun Shorter @ ThinkProgress: Those bastards deserved to die anyway. Because CLIMATE CHANGE. http://is.gd/RYsU6d | # tcot # p2"";;@ @;# #;""63997938048827393"";https://twitter.com/velvethammer/status/63997938048827393",,,,"velvethammer;2011-04-29 11:07;0;0;""RT @ pinkelephantpun Shorter @ ThinkProgress: Those bastards deserved to die anyway. Because CLIMATE CHANGE. http://is.gd/RYsU6d | # tcot # p2"";;@ @;# #;""63997938048827393"";https://twitter.com/velvethammer/status/63997938048827393 ",
"KellyJClifton;2011-04-29 11:07;0;0;""RT @ streetsblogdc: The behavioral science of climate change: a how-to guide for getting people to adopt more climate-friendly behaviors...."";;@;;""63997917215719424"";https://twitter.com/KellyJClifton/status/63997917215719424  ",,,,,"KellyJClifton;2011-04-29 11:07;0;0;""RT @ streetsblogdc: The behavioral science of climate change: a how-to guide for getting people to adopt more climate-friendly behaviors...."";;@;;""63997917215719424"";https://twitter.com/KellyJClifton/status/63997917215719424",,,,"KellyJClifton;2011-04-29 11:07;0;0;""RT @ streetsblogdc: The behavioral science of climate change: a how-to guide for getting people to adopt more climate-friendly behaviors...."";;@;;""63997917215719424"";https://twitter.com/KellyJClifton/status/63997917215719424 ",
"Impactlab;2011-04-29 11:06;0;0;""Brown Recluse Spider Population Boom Result of Climate Change: Brown recluse spider The brown recluse are one of... http://bit.ly/m7sdD5"";;;;""63997559395459072"";https://twitter.com/Impactlab/status/63997559395459072  ",,,,,"Impactlab;2011-04-29 11:06;0;0;""Brown Recluse Spider Population Boom Result of Climate Change: Brown recluse spider The brown recluse are one of... http://bit.ly/m7sdD5"";;;;""63997559395459072"";https://twitter.com/Impactlab/status/63997559395459072",,,,"Impactlab;2011-04-29 11:06;0;0;""Brown Recluse Spider Population Boom Result of Climate Change: Brown recluse spider The brown recluse are one of... http://bit.ly/m7sdD5"";;;;""63997559395459072"";https://twitter.com/Impactlab/status/63997559395459072 ",
"ClimateHome;2011-04-29 11:03;0;0;""Will you help us spread the word about # climatechange! Please share our video contest and enter to win $5 000! http://www.climate-change.tv/"";;;#;""63996903511166976"";https://twitter.com/ClimateHome/status/63996903511166976 ",,,,,"ClimateHome;2011-04-29 11:03;0;0;""Will you help us spread the word about # climatechange! Please share our video contest and enter to win $5",,"000! http://www.climate-change.tv/"";;;#;""63996903511166976"";https://twitter.com/ClimateHome/status/63996903511166976",,"ClimateHome;2011-04-29 11:03;0;0;""Will you help us spread the word about # climatechange! Please share our video contest and enter to win $5 000! http://www.climate-change.tv/"";;;#;""63996903511166976"";https://twitter.com/ClimateHome/status/63996903511166976",
"LauritaIsabelle;2011-04-29 11:03;0;0;""@ nature_org # greennews: DOI Report Paints Scary Climate-Change Picture For Western U.S. http://bit.ly/lz16ZZ # environment # ClimateChange"";;@;# # #;""63996752507842561"";https://twitter.com/LauritaIsabelle/status/63996752507842561  ",,,,,"LauritaIsabelle;2011-04-29 11:03;0;0;""@ nature_org # greennews: DOI Report Paints Scary Climate-Change Picture For Western U.S. http://bit.ly/lz16ZZ # environment # ClimateChange"";;@;# # #;""63996752507842561"";https://twitter.com/LauritaIsabelle/status/63996752507842561",,,,"LauritaIsabelle;2011-04-29 11:03;0;0;""@ nature_org # greennews: DOI Report Paints Scary Climate-Change Picture For Western U.S. http://bit.ly/lz16ZZ # environment # ClimateChange"";;@;# # #;""63996752507842561"";https://twitter.com/LauritaIsabelle/status/63996752507842561 ",
